companycode,inn,ogrn,kpp,name,address,hr-agency,url,site,phone,fax,email,code_industry_branch
e9385ed0-25fd-11e9-aced-037acc02728d,5405172920,1035401907738,540501001,"ООО ""Термооптима""","Новосибирская область, г. Новосибирск, Бердское шоссе, 630025, г Новосибирск, ш Бердское, д. 61, корп. 2, 83.075721, 54.872771",,https://trudvsem.ru/company/e9385ed0-25fd-11e9-aced-037acc02728d,http://www.thermooptima.ru,,,o_orlovaterm@ngs.ru,
1075050004149,5050064640,1075050004149,505001001,"ООО ""Ника""","Новосибирская область, г. Новосибирск, Сакко и Ванцетти улица, 77, 82.946804, 55.020905",,https://trudvsem.ru/company/1075050004149,,,,,
1175476038297,5433961860,1175476038297,543301001,"МБУ ""Фасад""","Новосибирская область, Новосибирский район, Кольцово рабочий поселок, 630559, рп Кольцово, д. 12, офис 1, 83.189241, 54.93977",,https://trudvsem.ru/company/1175476038297,http://mbufasad.com,+7(383)3366245,,,
1167700065060,7751028080,1167700065060,775101001,Ассоциация БезБарьерный Альянс (АББА),"Новосибирская область, г. Бердск, Спортивная улица, 5, 83.120179, 54.752557",,https://trudvsem.ru/company/1167700065060,http://www.безбарьерный.рф,,,adaptor.rf@mail.ru,
1035401913030,5405213782,1035401913030,540501001,МБОУ СОШ № 155,"Новосибирская область, г. Новосибирск, Ключ-Камышенское Плато улица, 1а, 83.041316, 54.985225",,https://trudvsem.ru/company/1035401913030,http://школа155.рф,+7(383)2048920,,,
1157746094330,7718059451,1157746094330,772301001,"Общество с ограниченной ответственностью ""Рапсалин""","Новосибирская область, г. Новосибирск, Новосибирская улица, 1, Офис головной компании находится в Москве по адресу: ул. Маршала Голованова, д.13, 82.845106, 54.992002",,https://trudvsem.ru/company/1157746094330,http://www.rapsalin.ru,+7(495)2877040,,vbs@rapsalin.com,
1025401489134,5404141408,1025401489134,540401001,МБОУ СОШ № 92,"Новосибирская область, 630136, г Новосибирск, ул Киевская, д. 7, 82.84913, 54.990003",,https://trudvsem.ru/company/1025401489134,,+7(383)3415351,,,
1145476023076,5401376899,1145476023076,540101001,"ООО ""Авангард Сибирь""","Новосибирская область, г. Новосибирск, Станционная улица, 39, 82.843704, 54.996294",,https://trudvsem.ru/company/1145476023076,,+7(3843)328787,,i.kopylova@avansib.ru,
317547600167158,541000144081,317547600167158,nan,ИП Димитриев Алексей Георгиевич,"Новосибирская область, г. Новосибирск, Дуси Ковальчук улица, 1 корпус 6, 82.879224, 55.049044",,https://trudvsem.ru/company/317547600167158,,,,,
1035401482071,5404121137,1035401482071,nan,"МБОУ Гимназия № 14 ""Университетская""","Новосибирская область, г. Новосибирск, Карла Маркса проспект, 31, 82.899499, 54.987353",,https://trudvsem.ru/company/1035401482071,http://gim-14.nios.ru,346-47-31,,gym_14_nsk@nios.ru,
314547634200053,544301720182,314547634200053,nan,"Кафе ""Ромашка""","Новосибирская область, г. Бердск, Промышленная улица, 1|1, 83.128821, 54.750546",,https://trudvsem.ru/company/314547634200053,http://www.кафе-ромашка.рф,,,,
ceaefea0-1e63-11e7-add5-ef76bd2a03c1,5402155123,1025401014770,540201001,Новосибоблфарм,"Новосибирская область, г. Новосибирск, Рассветная улица, 1, 82.965426, 55.108575",,https://trudvsem.ru/company/ceaefea0-1e63-11e7-add5-ef76bd2a03c1,http://www.oblfarm.ru/,,,striginayuv@oblfarm.ru,
1025401492621,5404156429,1025401492621,540401001,"ООО ""ГОРОДСКОЙ ЛОМБАРД""","Новосибирская область, г. Новосибирск, Объединения улица, 27, 630108, г Новосибирск, ул Котовского, д. 21, 82.964833, 55.097579",,https://trudvsem.ru/company/1025401492621,,+7(383)3551552,,lombard@adalit.ru,
c891fa00-7ae9-11ea-8b61-037acc02728d,5403101346,1025401313024,540301001,"МБУ СШОР ""Фламинго"" по легкой атлетике","Новосибирская область, 630106, г Новосибирск, ул Зорге, д. 82/1, 82.911725, 54.931024",,https://trudvsem.ru/company/c891fa00-7ae9-11ea-8b61-037acc02728d,,,,,
1184205010032,4253042129,1184205010032,nan,"ООО ""СК НКММ""","Новосибирская область, г. Новосибирск, Тихвинская улица, 1, 82.867716, 54.980751",,https://trudvsem.ru/company/1184205010032,,,,,
1155476117367,5406594957,1155476117367,nan,ООО КИМ,"Новосибирская область, г. Новосибирск, Ленинградская улица, 82.943822, 55.019444",,https://trudvsem.ru/company/1155476117367,,,,,
acef7540-c208-11e6-b3f6-037acc02728d,5406012253,1025402494468,540601001,ГУ МВД Российской Федерации по Новосибирской области,"Новосибирская область, г. Новосибирск, Богдана Хмельницкого улица, 98, 82.979467, 55.095013",,https://trudvsem.ru/company/acef7540-c208-11e6-b3f6-037acc02728d,,+7(383)2327735,,,
1195476022015,5402050970,1195476022015,nan,"РОО НСО ПСПУПС ""Сибирский острог""","Новосибирская область, г. Новосибирск, Красный проспект, 182, 82.913962, 55.057069",,https://trudvsem.ru/company/1195476022015,,,,,
e34dced0-488c-11ea-a969-e37b4be0b9ed,7743326326,1197746740476,774301001,"ООО ""Профторг""","Новосибирская область, г. Новосибирск, Шевченко улица, 34, 82.941845, 55.023537",,https://trudvsem.ru/company/e34dced0-488c-11ea-a969-e37b4be0b9ed,,,,,
318547600130685,541001130927,318547600130685,nan,Индивидуальной предприниматель Яковлева Марина Евгеньевна,"Новосибирская область, г. Новосибирск, Добролюбова улица, 162/1, Норвегия Шпицберген, 82.984255, 55.030488",True,https://trudvsem.ru/company/318547600130685,http://imperiya-kadrov.ru,,,,
1135476171929,5404498091,1135476171929,540401001,ООО Дорстройпартнер,"Новосибирская область, г. Новосибирск, Таежная улица, 96, 82.873367, 55.024327",,https://trudvsem.ru/company/1135476171929,,,,,
1035403650150,5409116613,1035403650150,540901001,"Муниципальное бюджетное учреждение молодежный Центр ""Дом молодежи"" Первомайского района города Новосибирска","Новосибирская область, г. Новосибирск, Эйхе улица, 630037, г Новосибирск, ул Эйхе, д. 1, 83.099257, 54.973057",,https://trudvsem.ru/company/1035403650150,,+7(383)3370002,+7(383)3374926,dom-molod@mail.ru,
7dab7370-c582-11ea-b46e-bfd13399602c,3662086580,1043600018802,366601001,"ООО ""ИНВЕСТГРУПП""","Новосибирская область, г. Новосибирск, Кирова улица, 29, М.Октябрьская, 82.948385, 55.016548",True,https://trudvsem.ru/company/7dab7370-c582-11ea-b46e-bfd13399602c,,,,,
1025403654891,5408150114,1025403654891,540801001,МБОУ СОШ № 112,"Новосибирская область, 630056, г Новосибирск, ул Красноуфимская, д. 8, 82.972559, 54.850863",,https://trudvsem.ru/company/1025403654891,,Рабочий (383) 3347536,,,
1035401922698,5405251185,1035401922698,540501001,МКДОУ д/с № 490,"Новосибирская область, 630089, г Новосибирск, ул Федосеева, д. 1а, 82.970574, 55.037211",,https://trudvsem.ru/company/1035401922698,,Рабочий (383) 2670827,Факс (383) 2673752,ds_490_nsk@nios.ru,
1025401913723,5405180784,1025401913723,540501001,"Муниципальное казенное общеобразовательное учреждение г.Новосибирска ""Специальная (коррекционная) школа № 1""","Новосибирская область, 630102, г Новосибирск, ул Инская, д. 61, 82.933734, 55.011361",,https://trudvsem.ru/company/1025401913723,,+7(383)2661760,+7(383)2667084,sch_1_nsk@nios.ru,
1025403910058,5410126849,1025403910058,541001001,"Муниципальное казенное дошкольное образовательное учреждение города Новосибирска ""Детский сад № 30 комбинированного вида ""Снегирек""","Новосибирская область, 630129, г Новосибирск, ул Курчатова, д. 5/2, 82.965732, 55.105944",,https://trudvsem.ru/company/1025403910058,,+7(383)2742432,+7(383)2743331,detsad30@ngs.ru,
1025403211437,5407165372,1025403211437,540716537,"Муниципальное казенное дошкольное образовательное учреждение города Новосибирска ""Детский сад № 414 комбинированного вида ""Чебурашка""","Новосибирская область, 630004, г Новосибирск, ул Челюскинцев, д. 18а, 82.904188, 55.037273",,https://trudvsem.ru/company/1025403211437,,+7(383)2217976,,cheburashka_dc@mail.ru,
1025404184178,5422103772,1025404184178,542201001,"Межмуниципальный отдел Министерства внутренних дел Российской Федерации ""Карасукский""(реализующий задачи и функции органов внутренних дел на территории Карасукского и Баганского районов)","Новосибирская область, 632770, с Баган, р-н Баганский, ул Ленина, д. 53, 77.6648, 54.100152",,https://trudvsem.ru/company/1025404184178,,+7(38355)33795,,levtushenko4@mvd.ru,
1035401933456,5405256641,1035401933456,540501001,"Акционерное общество Проектно-строительная фирма ""Мастерсвязьпроект""","Новосибирская область, 630063, г Новосибирск, ул Нижегородская, д. 270/4, 4эт., 82.974239, 55.001034",,https://trudvsem.ru/company/1035401933456,,+7(383)3250560,,nt5333@mspsib.ru,
1045401012667,5402189877,1045401012667,540501001,"ООО ""МЕДИЦИНСКИЙ ЦЕНТР НГМА""","Новосибирская область, 630009, г Новосибирск, ул Никитина, д. 20, 82.958069, 55.010535",,https://trudvsem.ru/company/1045401012667,,+7(383)2662058,,to@sibnii.com,
1085405004321,5405365055,1085405004321,540501001,"Общество с ограниченной ответственностью ""Сибирский комбинат строительных материалов""","Новосибирская область, 630126, г Новосибирск, ул Пролетарская, д. 271, 83.052527, 54.993825",,https://trudvsem.ru/company/1085405004321,,+7(383)2510128 доб. 144,,sksm1buh@mail.ru,
1025401918816,5405151060,1025401918816,540501001,"Муниципальное бюджетное общеобразовательное учреждение города Новосибирска ""Средняя общеобразовательная школа № 19""","Новосибирская область, 630102, г Новосибирск, ул Бориса Богаткова, д. 46, 82.945466, 55.011779",,https://trudvsem.ru/company/1025401918816,,+7(383)2666258,+7(383)2661717,sch_19_nsk@nios.ru,
1025401932401,5405192028,1025401932401,540501001,"Муниципальное казенное дошкольное образовательное учреждение города Новосибирска ""Детский сад № 453 комбинированного вида""","Новосибирская область, 630089, г Новосибирск, ул Бориса Богаткова, д. 197/1, 82.972469, 55.036365",,https://trudvsem.ru/company/1025401932401,,+7(383)2560174,,ds_453_nsk@nios.ru,
1025403639392,5408183303,1025403639392,540801001,"Автономная некоммерческая организация ""Центр новых медицинских технологий в Академгородке""","Новосибирская область, 630090, г Новосибирск, ул Пирогова, д. 25/4, 83.091505, 54.852044",,https://trudvsem.ru/company/1025403639392,,+7(383)3530198 доб. 255,,info@cnmt.ru,
1025401911732,5405125529,1025401911732,540501001,"Муниципальное автономное учреждение дополнительного образования города Новосибирска ""Дворец творчества детей и учащейся молодежи ""Юниор""","Новосибирская область, 630102, г Новосибирск, ул Кирова, д. 44/1, 82.937471, 55.017555",,https://trudvsem.ru/company/1025401911732,,+7(383)2179130,,junior-nsk@yandex.ru,
1075406037354,5406411307,1075406037354,540601001,"Общество с ограниченной ответственностью ""ВПО Пирант""","Новосибирская область, 630120, с Сокур, р-н Мошковский, 83.297192, 55.20206",,https://trudvsem.ru/company/1075406037354,,+7(383)2233613,,ofisvpopirant@mail.ru,
1095473005891,5408272659,1095473005891,540801001,"Акционерное общество ""15 центральный автомобильный ремонтный завод""","Новосибирская область, 630057, г Новосибирск, ул Варшавская, д. 1, 82.949418, 54.850692",,https://trudvsem.ru/company/1095473005891,,+7(383)3451534,,ok@carz15.ru,
1025403870601,5409110019,1025403870601,540901001,МБОУ СОШ №146,"Новосибирская область, 630025, г Новосибирск, ул Аксенова, д. 54, 83.059758, 54.964359",,https://trudvsem.ru/company/1025403870601,http://sch-146nsk.edusite.ru,Рабочий (8383) 3376366,Факс (8383) 3383459,sch_146_nsk@nios.ru,
1025403910564,5410128684,1025403910564,541001001,МБОУ СОШ № 207,"Новосибирская область, 630129, г Новосибирск, ул Родники, д. 4, 82.949373, 55.11131",,https://trudvsem.ru/company/1025403910564,http://school207.ru,,Факс (8383) 2708666,,
1025401935680,5405112061,1025401935680,540501001,МКДОУ д/сад № 489 комбинированного вида,"Новосибирская область, 630133, г Новосибирск, ул Высоцкого, д. 21, 83.016486, 55.031278",,https://trudvsem.ru/company/1025401935680,,+7(383)2409112,,ds_489_nsk@nios.ru,
1025405009629,5427101151,1025405009629,542701001,"АО ""КРАСНОЗЕРСКАВТОТРАНС-1""","Новосибирская область, 632902, рп Краснозерское, р-н Краснозерский, ул Панарина, д. 25, 79.244946, 53.984953",,https://trudvsem.ru/company/1025405009629,,+7(38357)42169,,,
1025405011114,5427105580,1025405011114,572701001,Муниципальное казенное дошкольное образовательное учреждение Краснозерского района Новосибирской области Краснозерский детский сад №6,"Новосибирская область, 632902, рп Краснозерское, р-н Краснозерский, ул Ленина, д. 38, 79.247668, 53.97969",,https://trudvsem.ru/company/1025405011114,,+7(38357)41936,,ksv020573@mail.ru,
1065405117634,5405316435,1065405117634,540501001,"Общество с ограниченной ответственностью ""МегаТорг""","Новосибирская область, 630039, г Новосибирск, ул Воинская, д. 63, 82.972586, 55.021374",,https://trudvsem.ru/company/1065405117634,,+7(383)3633637,+7(383)2787263,kirushin.p@bynom.com,
1025404356548,5433113042,1025404356548,543301001,"Межмуниципальный отдел Министерства внутренних дел Россиийской Федерации ""Новосибирский""","Новосибирская область, 630020, г Новосибирск, ул Объединения, д. 9, 82.955671, 55.094411",,https://trudvsem.ru/company/1025404356548,,+7(383)2322031,,momvdrf9@mail.ru,
1025401501344,5404156250,1025401501344,540401001,"Муниципальное казенное дошкольное образовательное учреждение города Новосибирска ""Детский сад № 331 комбинированного вида""","Новосибирская область, 630077, г Новосибирск, ул Степная, д. 17, 2-ой корпус - ул. Тульская, 270/6, 82.870322, 54.966401",,https://trudvsem.ru/company/1025401501344,,+7(383)3439010,,ds_331_nsk@nios.ru,
1025401503126,5404104283,1025401503126,540401001,"Государственное бюджетное учреждение здравоохранения Новосибирской области ""Городская клиническая больница № 11""","Новосибирская область, 630120, г Новосибирск, ул Танкистов, д. 23, 82.825163, 54.982667",,https://trudvsem.ru/company/1025401503126,,+7(383)3412878,,gkb11@nso.ru,
1065401091733,5401267748,1065401091733,540501001,"Общество с ограниченной ответственностью ""Лиммион""","Новосибирская область, 630102, г Новосибирск, ул Бориса Богаткова, д. 22, офис 107, 82.943337, 55.009765",,https://trudvsem.ru/company/1065401091733,,+7(383)2865583,,ooo@limmion.ru,
1025400521740,5401110024,1025400521740,540101001,"ГБПОУ НСО ""Новосибирский радиотехнический колледж""","Новосибирская область, 630015, г Новосибирск, пр-кт Дзержинского, д. 26, 82.972963, 55.054423",,https://trudvsem.ru/company/1025400521740,,+7(383)2792021,+7(383)2791687,info@nrtk.ru,
1145476071806,5445036868,1145476071806,544501001,"Общество с ограниченной ответственностью ""Нотис""","Новосибирская область, 633004, г Бердск, ул Промышленная, д. 8, 83.144101, 54.745713",,https://trudvsem.ru/company/1145476071806,,+7(38341)58210,,vacancy@notis.ru,
1025403908364,5410145665,1025403908364,541001001,"Общество с ограниченной ответственностью ""Сиб-Пресс""","Новосибирская область, 630056, г Новосибирск, ул Софийская, д. 12/5, 82.968525, 54.850863",,https://trudvsem.ru/company/1025403908364,,+7(383)3283063,,komdir@sib-press.ru,
1025401930993,5405171606,1025401930993,540501001,"Муниципальное казенное дошкольное образовательное учреждение города Новосибирска ""Детский сад № 372 комбинированного вида""","Новосибирская область, 630039, г Новосибирск, ул Стофато, д. 12а, 82.980913, 55.031923",,https://trudvsem.ru/company/1025401930993,,+7(383)2675555,,ds_372_nsk@nios.ru,
1055406317262,5406329010,1055406317262,540601001,"Общество с ограниченной ответственностью ""Высотка""","Новосибирская область, 630102, г Новосибирск, ул Восход, д. 14/1, 82.941612, 55.011562",,https://trudvsem.ru/company/1055406317262,,+7(952)9283416,,tok2z@yandex.ru,
1025402464493,5406105211,1025402464493,540501001,Управление федерального казначейства по Новосибирской области,"Новосибирская область, 630049, г Новосибирск, ул Дуси Ковальчук, д. 276, 82.92263, 55.062973",,https://trudvsem.ru/company/1025402464493,novosibirsk.roskazna.ru,+7(383)2696062,,ufk51_ok@roskazna.ru,
1025405011136,5427105607,1025405011136,542701001,Муниципальное казенное дошкольное образовательное учреждение Краснозерского района Новосибирской области Краснозерский детский сад №2 комбинированного вида,"Новосибирская область, 632902, рп Краснозерское, р-н Краснозерский, ул Советская, д. 30, 79.233681, 53.977847",,https://trudvsem.ru/company/1025405011136,,+7(38357)42336,,alla_ovsienko@mail.ru,
1175476131654,5405018132,1175476131654,540501001,"Общество с ограниченной ответственностью ""Жэлищно-Эксплуатационный Участок № 4""","Новосибирская область, 630063, г Новосибирск, ул Лескова, д. 252, корп. этаж 1, 82.970232, 55.013828",,https://trudvsem.ru/company/1175476131654,,+7(383)2096364,,uchastok4ukjx@yandex.ru,
1095403013155,5403315059,1095403013155,540301001,Общество с ограниченной ответственностью Сиб-РТМА,"Новосибирская область, 630088, г Новосибирск, ул Сибиряков-Гвардейцев, д. 51/1, офис 314, 82.899912, 54.944512",,https://trudvsem.ru/company/1095403013155,,+7(383)3426377,,rtma@ngs.ru,
1075404030393,5404341848,1075404030393,540401001,"Общество с ограниченной ответственностью Сибирская Комплексная Компания ""Авангард""","Новосибирская область, 630102, г Новосибирск, ул Зыряновская, д. 63, 82.942016, 55.009874",,https://trudvsem.ru/company/1075404030393,,+7(913)3796490,,skk_avangard@mail.ru,
1025404496370,5434115701,1025404496370,543401001,Муниципальное казенное общеобразовательное учреждение Ордынского района Новосибирской области - Филипповская средняя общеобразовательная школа,"Новосибирская область, 633264, р-н Ордынский, д. 12, с.Филиппово,ул.Школьная, 81.525984, 54.318047",,https://trudvsem.ru/company/1025404496370,,+7(38359)48193,,shkola-f@rambler.ru,
1025403641900,5408100018,1025403641900,540801001,Федеральное государственное бюджетное учреждение науки Институт теоретической и прикладной механики им.С.А. Христиановича Сибирского отделения Российской академии наук,"Новосибирская область, 630090, г Новосибирск, ул Институтская, д. 4/1, 83.116164, 54.846617",,https://trudvsem.ru/company/1025403641900,,+7(383)3303936,,karuleva@itam.nsc.ru,
1135476137092,5401371570,1135476137092,540801001,"Общество с ограниченной ответственностью ""Шиносибирск""","Новосибирская область, 630058, г Новосибирск, ул Русская, этаж 1, 83.05268, 54.845524",,https://trudvsem.ru/company/1135476137092,www.vianor54.ru,+7(383)3639446,,pers@tdrbt.ru,
c727abd0-b5a4-11e8-93da-ef76bd2a03c1,5406300766,1055406000627,540601001,"МКУ ""АМОУКСИМП""","Новосибирская область, 630091, г Новосибирск, пр-кт Красный, д. 50, 82.919783, 55.035323",,https://trudvsem.ru/company/c727abd0-b5a4-11e8-93da-ef76bd2a03c1,,+7(383)2223323,,info@amouksimp.ru,
1045480001896,5429107134,1045480001896,542901001,Администрация Купинского района Новосибирской области,"Новосибирская область, 632735, г Купино, р-н Купинский, ул Советов, д. 85, 77.294982, 54.364414",,https://trudvsem.ru/company/1045480001896,,+7(38358)23694,,kupsovet@ngs.ru,
1035400511057,5401117950,1035400511057,540101001,"Государственное бюджетное профессиональное образовательное учреждение Новосибирской области ""Новосибирский авиастроительный лицей""","Новосибирская область, 630051, г Новосибирск, ул Ползунова, д. 5, 82.985531, 55.062498",,https://trudvsem.ru/company/1035400511057,,+7(383)2793711,,nal@nsk-asl.ru,
1033302204264,3305037917,1033302204264,330501001,"Общество с ограниченной ответственностью ""Аскона-Век""","Новосибирская область, 630001, г Новосибирск, ул Ногина, д. 2, 82.882602, 55.041911",,https://trudvsem.ru/company/1033302204264,,+7(383)2462262,,german_da@askona.ru,
1035406224600,5417105260,1035406224600,541701001,"Муниципальное казенное учреждение дополнительного образования ""Баганская детская юношеская спортивная школа""","Новосибирская область, 632770, с Баган, р-н Баганский, д. 7, Максима Горького ул, 77.396689, 54.086391",,https://trudvsem.ru/company/1035406224600,,+783835321404,,baganskaydush@yandex.ru,
1025403656960,5408132404,1025403656960,540801001,"Муниципальное автономное общеобразовательное учреждение города Новосибирска ""Образовательный центр - гимназия № 6 ""Горностай""","Новосибирская область, 630117, г Новосибирск, ул Вяземская, д. 4, 83.102294, 54.86785",,https://trudvsem.ru/company/1025403656960,www.gornostay.com,+7(383)3399030,,kadry@gornostay.com,
1025403645740,5408175133,1025403645740,540801001,"Общество с ограниченной ответственностью "" Дата Ист""","Новосибирская область, 630090, г Новосибирск, пр-кт Академика Лаврентьева, д. 2/2, 83.098521, 54.853138",,https://trudvsem.ru/company/1025403645740,,+7(383)3320320,,tpetrenko@dataeast.com,
1025403665572,5408105471,1025403665572,540801001,"Федеральное государственное бюджетное учреждение науки ""Институт лазерной физики Сибирского отделения Российской академии наук""","Новосибирская область, 630090, г Новосибирск, пр-кт Академика Лаврентьева, д. 15Б, 83.118499, 54.843341",,https://trudvsem.ru/company/1025403665572,,+7(383)3309332,,ok2@laser.nsc.ru,
1025406624550,5418101645,1025406624550,545101001,"Сельскохозяйственный производственный кооператив ""Сады Барабы"".","Новосибирская область, 632306, д Старощербаково, р-н Барабинский, ул Мира, д. 9, 78.453988, 55.370288",,https://trudvsem.ru/company/1025406624550,,+792157,,,
1025401917310,5405120947,1025401917310,540501001,"Муниципальное казенное дошкольное образовательное учреждение города Новосибирска ""Детский сад № 234 ""Кроха"" комбинированного вида""","Новосибирская область, 630009, г Новосибирск, ул Никитина, д. 13а, 82.95532, 55.010168",,https://trudvsem.ru/company/1025401917310,ds-234.nios.ru,+7(383)2669584,,ds_234_nsk@nios.ru,
41cffb30-08ba-11ea-9a2c-ef76bd2a03c1,7724490000,1197746000000,772401001,"АО ""ПОЧТА РОССИИ""","Новосибирская область, 632902, рп Краснозерское, р-н Краснозерский, ул Октябрьская, д. 27, Краснозерский почтамт, 79.242394, 53.979844",,https://trudvsem.ru/company/41cffb30-08ba-11ea-9a2c-ef76bd2a03c1,,,,admin_zakupki@russianpost.ru,
8df75c20-89f6-11ea-b7c4-e37b4be0b9ed,5406012609,1035402470542,540601001,Военный комиссариат Новосибирской области,"Новосибирская область, 630027, г Новосибирск, ул Тайгинская, д. 17, 82.987273, 55.109379",,https://trudvsem.ru/company/8df75c20-89f6-11ea-b7c4-e37b4be0b9ed,,,,,
1025401930806,5405114622,1025401930806,540501001,"ГБПОУ НСО ""Новосибирский автотранспортный колледж""","Новосибирская область, 630102, г Новосибирск, ул Якушева, д. 31, 82.937498, 55.012811",,https://trudvsem.ru/company/1025401930806,http://natt52@yandex.ru,+7(383)2669142,+7(383)2660081,natt52@yandex.ru,
1025403664340,5408100201,1025403664340,540801001,Федеральное государственное бюджетное учреждение науки Институт систем информатики им. А.П. Ершова Сибирского отделения Российской академии наук,"Новосибирская область, 630090, г Новосибирск, пр-кт Академика Лаврентьева, д. 6, 83.102392, 54.851319",,https://trudvsem.ru/company/1025403664340,,+7(383)3308744,,iis@iis.nsk.su,
1025405012291,5427105300,1025405012291,542701001,Муниципальное бюджетное общеобразовательное учреждение Краснозерского района Новосибирской области Краснозерский лицей №1,"Новосибирская область, 632902, рп Краснозерское, р-н Краснозерский, ул Панарина, д. 1, 79.246599, 53.981946",,https://trudvsem.ru/company/1025405012291,8-913-007-73-47 Шрефер Виталий Освальдович завхоз,+7(38357)41886,,krasshcool@mail.ru,
44b44b00-5610-11e5-8037-833b590698f7,5408179314,1025403647433,540801001,МКДОУ д/с № 304,"Новосибирская область, 630090, г Новосибирск, проезд Детский, д. 17, 83.10559, 54.841874",,https://trudvsem.ru/company/44b44b00-5610-11e5-8037-833b590698f7,,Рабочий (383) 3332324,,ds_304_nsk@nios.ru,
1042401810494,2460066195,1042401810494,246001001,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ФЕДЕРАЛЬНАЯ ГИДРОГЕНЕРИРУЮЩАЯ КОМПАНИЯ - РУСГИДРО"" - ФИЛИАЛ ПАО ""РУСГИДРО"" - ""ЗАГОРСКАЯ ГАЭС""","Новосибирская область, 630056, г Новосибирск, ул Новоморская, д. 4, 82.977437, 54.851791",,https://trudvsem.ru/company/1042401810494,,"+7(496)5453504 ,+7(496)5453550",,office@zagaes.rushydro.ru,
315547600119302,540136138855,315547600119302,nan,Индивидуальный предприниматель Федирко Виктор Иванович,"Новосибирская область, 630063, г Новосибирск, ул Тургенева, д. 261, 82.97096, 55.012037",,https://trudvsem.ru/company/315547600119302,,+7(383)2623945,,piruet-nsk@mail.ru,
1055405189982,5405302217,1055405189982,540501001,"Общество с ограниченной ответственностью ""Пионер""","Новосибирская область, 630039, г Новосибирск, ш Гусинобродское, д. 62, 83.011079, 55.036736",,https://trudvsem.ru/company/1055405189982,,+7(383)2197199,,pioner.62@mail.ru,
1165476072365,5406603496,1165476072365,540601001,"Общество с ограниченнной ответственностью строительная компания ""ВЕШЕР""","Новосибирская область, 630091, г Новосибирск, пр-кт Красный, д. 82, офис 6 АЦ, 82.924176, 55.017823",,https://trudvsem.ru/company/1165476072365,,+7(913)4821798,,ooo.sibir.69@bk.ru,
4afed000-7dfe-11ea-8860-736ab11edb0c,5405148780,1025401902998,540501001,"ГБУЗ НСО ""ГКП № 7""","Новосибирская область, 630083, г Новосибирск, ул Ульяновская, д. 1, 82.973834, 54.995054",,https://trudvsem.ru/company/4afed000-7dfe-11ea-8860-736ab11edb0c,,,,,
